交易日,是否交易,开仓合约,平仓合约,开仓合约delta,开仓价,平仓价,持仓合约,持仓合约收盘价,现货收盘价,平仓合约Strike
20140221,Yes,华夏上证50ETF期权1403认购1.40,,82.7549451895,0.1150,,华夏上证50ETF期权1403认购1.40,0.1150,1.496,""
20140224,No,,,,,,华夏上证50ETF期权1403认购1.40,0.0840,1.458,""
20140225,No,,,,,,华夏上证50ETF期权1403认购1.40,0.0630,1.436,""
20140226,Yes,华夏上证50ETF期权1403认购1.40,华夏上证50ETF期权1403认购1.40,64.2654954423,0.0640,0.0640,华夏上证50ETF期权1403认购1.40,0.0640,1.429,1.4
20140227,No,,,,,,华夏上证50ETF期权1403认购1.40,0.0690,1.433,""
20140228,No,,,,,,华夏上证50ETF期权1403认购1.40,0.0720,1.432,""
20140303,No,,,,,,华夏上证50ETF期权1403认购1.40,0.0690,1.45,""
20140304,No,,,,,,华夏上证50ETF期权1403认购1.40,0.0740,1.447,""
20140305,No,,,,,,华夏上证50ETF期权1403认购1.40,0.0640,1.444,""
20140306,No,,,,,,华夏上证50ETF期权1403认购1.40,0.0670,1.434,""
20140307,No,,,,,,华夏上证50ETF期权1403认购1.40,0.0660,1.449,""
20140310,No,,,,,,华夏上证50ETF期权1403认购1.40,0.0300,1.406,""
20140311,No,,,,,,华夏上证50ETF期权1403认购1.40,0.0320,1.402,""
20140312,No,,,,,,华夏上证50ETF期权1403认购1.40,0.0400,1.402,""
20140313,No,,,,,,华夏上证50ETF期权1403认购1.40,0.0440,1.418,""
20140314,No,,,,,,华夏上证50ETF期权1403认购1.40,0.0280,1.416,""
20140317,No,,,,,,华夏上证50ETF期权1403认购1.40,0.0340,1.422,""
20140318,No,,,,,,华夏上证50ETF期权1403认购1.40,0.0330,1.424,""
20140319,No,,,,,,华夏上证50ETF期权1403认购1.40,0.0170,1.406,""
20140320,No,,,,,,华夏上证50ETF期权1403认购1.40,0.0230,1.407,""
20140321,No,,,,,,华夏上证50ETF期权1403认购1.40,0.0360,1.403,""
20140324,No,,,,,,华夏上证50ETF期权1403认购1.40,0.0760,1.46,""
20140325,No,,,,,,华夏上证50ETF期权1403认购1.40,0.0070,1.463,""
20140326,Yes,华夏上证50ETF期权1404认购1.55,华夏上证50ETF期权1403认购1.40,22.8749068193,0.0100,0.0600,华夏上证50ETF期权1404认购1.55,0.0100,1.46,1.4
20140327,No,,,,,,华夏上证50ETF期权1404认购1.55,0.0130,1.45,""
20140328,No,,,,,,华夏上证50ETF期权1404认购1.55,0.0150,1.462,""
20140331,No,,,,,,华夏上证50ETF期权1404认购1.55,0.0110,1.454,""
20140401,No,,,,,,华夏上证50ETF期权1404认购1.55,0.0120,1.459,""
20140403,No,,,,,,华夏上证50ETF期权1404认购1.55,0.0120,1.475,""
20140404,No,,,,,,华夏上证50ETF期权1404认购1.55,0.0140,1.466,""
20140409,No,,,,,,华夏上证50ETF期权1404认购1.55,0.0440,1.524,""
20140410,No,,,,,,华夏上证50ETF期权1404认购1.55,0.0630,1.519,""
20140411,No,,,,,,华夏上证50ETF期权1404认购1.55,0.0600,1.551,""
20140414,No,,,,,,华夏上证50ETF期权1404认购1.55,0.0560,1.545,""
20140415,No,,,,,,华夏上证50ETF期权1404认购1.55,0.0360,1.517,""
20140416,No,,,,,,华夏上证50ETF期权1404认购1.55,0.0360,1.512,""
20140417,No,,,,,,华夏上证50ETF期权1404认购1.55,0.0360,1.513,""
20140418,No,,,,,,华夏上证50ETF期权1404认购1.55,0.0310,1.499,""
20140421,No,,,,,,华夏上证50ETF期权1404认购1.55,0.0228,1.488,""
20140422,No,,,,,,华夏上证50ETF期权1404认购1.55,0.0140,1.485,""
20140423,Yes,华夏上证50ETF期权1405认购1.60,华夏上证50ETF期权1404认购1.55,23.4182737658,0.0246,0.0146,华夏上证50ETF期权1405认购1.60,0.0246,1.498,1.55
20140424,No,,,,,,华夏上证50ETF期权1405认购1.60,0.0241,1.5,""
20140425,No,,,,,,华夏上证50ETF期权1405认购1.60,0.0231,1.499,""
