Initial Money:2.5
Risk Free Rate:0.04
Month to Expiry:0
Roll Over Day:0
,Delta20,Delta30
20140221,0.0,0.0
20140224,-0.002800000000000047,-0.002800000000000047
20140225,-0.0032000000000000028,-0.0032000000000000028
20140226,-0.0064000000000000055,-0.0064000000000000055
20140227,-0.0067999999999999615,-0.0067999999999999615
20140228,-0.008400000000000052,-0.008400000000000052
20140303,0.0,0.0
20140304,-0.0032000000000000028,-0.0032000000000000028
20140305,-0.00040000000000004474,-0.00040000000000004474
20140306,-0.005600000000000005,-0.005600000000000005
20140307,0.0008000000000000007,0.0008000000000000007
20140310,-0.002000000000000046,-0.002000000000000046
20140311,-0.004400000000000048,-0.004400000000000048
20140312,-0.007600000000000051,-0.007600000000000051
20140313,-0.002800000000000047,-0.002800000000000047
20140314,0.002799999999999958,0.002799999999999958
20140317,0.002799999999999958,0.002799999999999958
20140318,0.0040000000000000036,0.0040000000000000036
20140319,0.0032000000000000028,0.0032000000000000028
20140320,0.0012000000000000454,0.0012000000000000454
20140321,-0.005600000000000005,-0.005600000000000005
20140324,0.0011999999999999567,0.0011999999999999567
20140325,0.030000000000000072,0.030000000000000072
20140326,0.007599999999999963,0.007599999999999963
20140327,0.002400000000000002,0.002400000000000002
20140328,0.0064000000000000055,0.0064000000000000055
20140331,0.004800000000000004,0.004800000000000004
20140401,0.0064000000000000055,0.0064000000000000055
20140403,0.012800000000000011,0.012800000000000011
20140404,0.008399999999999963,0.008399999999999963
20140409,0.01959999999999997,0.01959999999999997
20140410,0.009999999999999964,0.009999999999999964
20140411,0.02400000000000002,0.02400000000000002
20140414,0.023199999999999932,0.023199999999999932
20140415,0.019999999999999928,0.019999999999999928
20140416,0.01799999999999997,0.01799999999999997
20140417,0.018399999999999927,0.018399999999999927
20140418,0.014800000000000058,0.014800000000000058
20140421,0.013680000000000003,0.013680000000000003
20140422,0.016000000000000014,0.016000000000000014
20140423,0.02679999999999998,0.02679999999999998
20140424,0.027800000000000047,0.027800000000000047
20140425,0.027800000000000047,0.027800000000000047
20140428,0.02183999999999999,0.02183999999999999
20140429,0.019439999999999992,0.019439999999999992
20140430,0.022240000000000038,0.022240000000000038
20140505,0.017040000000000076,0.017040000000000076
20140506,0.020640000000000037,0.020640000000000037
20140507,0.01820000000000004,0.01820000000000004
20140508,0.017520000000000025,0.017520000000000025
20140509,0.023840000000000038,0.023840000000000038
20140512,0.026639999999999997,0.026639999999999997
20140513,0.034640000000000004,0.034640000000000004
20140514,0.03384,0.03384
20140515,0.030400000000000028,0.030400000000000028
20140516,0.028239999999999998,0.028239999999999998
20140519,0.016239999999999987,0.016239999999999987
20140520,0.016640000000000033,0.016640000000000033
20140521,0.013839999999999986,0.013839999999999986
20140522,0.022800000000000063,0.022800000000000063
20140523,0.023439999999999996,0.023439999999999996
20140526,0.02744,0.02744
20140527,0.027039999999999953,0.027039999999999953
20140528,0.025439999999999952,0.025439999999999952
20140529,0.029960000000000077,0.029960000000000077
20140530,0.02859999999999996,0.02859999999999996
20140603,0.029400000000000048,0.029400000000000048
20140604,0.028200000000000003,0.028200000000000003
20140605,0.02203999999999997,0.02203999999999997
20140606,0.02876000000000003,0.02876000000000003
20140609,0.025640000000000017,0.025640000000000017
20140610,0.026280000000000036,0.026280000000000036
20140611,0.029800000000000004,0.029800000000000004
20140612,0.03280000000000003,0.03280000000000003
20140613,0.0258,0.0258
20140616,0.028200000000000003,0.028200000000000003
20140617,0.033199999999999986,0.033199999999999986
20140618,0.03396000000000008,0.03396000000000008
20140619,0.03116000000000003,0.03116000000000003
20140620,0.030600000000000006,0.030600000000000006
20140623,0.033720000000000014,0.033720000000000014
20140624,0.029400000000000048,0.029400000000000048
20140625,0.032200000000000006,0.032200000000000006
20140626,0.03376000000000001,0.03304
20140627,0.033640000000000024,0.03360000000000003
20140630,0.034520000000000016,0.03528000000000002
20140701,0.03592000000000004,0.03656000000000006
20140702,0.03752000000000004,0.038960000000000064
20140703,0.03928000000000002,0.04080000000000004
20140704,0.04260000000000001,0.04356
20140707,0.04356,0.04480000000000004
20140708,0.04151999999999996,0.04235999999999995
20140709,0.03911999999999995,0.04059999999999997
20140710,0.03764000000000003,0.04060000000000006
20140711,0.03920000000000003,0.042199999999999974
20140714,0.04236000000000004,0.045479999999999965
20140715,0.04736000000000003,0.05068000000000002
20140716,0.04855999999999998,0.051999999999999956
20140717,0.04588000000000001,0.049800000000000025
20140718,0.04576000000000002,0.04960000000000005
20140721,0.035960000000000034,0.05296000000000003
20140722,0.04847999999999999,0.05259999999999998
20140723,0.05712000000000002,0.06139999999999999
20140724,0.06067999999999998,0.06200000000000001
20140725,0.07392000000000003,0.07320000000000002
20140728,0.07764000000000007,0.07244000000000002
20140729,0.09164000000000003,0.08559999999999998
20140730,0.09299999999999997,0.08684000000000003
20140731,0.08772000000000002,0.08167999999999997
20140801,0.09499999999999993,0.08655999999999997
20140804,0.08368000000000002,0.07763999999999997
20140805,0.09076000000000004,0.08344000000000004
20140806,0.08772000000000002,0.07892000000000002
20140807,0.08319999999999998,0.08112000000000004
20140808,0.08615999999999993,0.08047999999999993
20140811,0.08792,0.08047999999999993
20140812,0.09083999999999995,0.08483999999999998
20140813,0.08984000000000006,0.08419999999999997
20140814,0.09451999999999998,0.08891999999999997
20140815,0.09252000000000002,0.08667999999999995
20140818,0.09803999999999995,0.09179999999999992
20140819,0.09688,0.09020000000000002
20140820,0.09859999999999998,0.09203999999999998
20140821,0.09324000000000003,0.09028
20140822,0.09612000000000007,0.09064000000000005
20140825,0.09519999999999999,0.09392000000000005
