Initial Money:0.625
Risk Free Rate:0.04
Month to Expiry:0
Roll Over Day:0
,Delta20,Delta25,Delta30
20140221,0.0,0.0,0.0
20140224,-0.008,-0.008,-0.008
20140225,-0.016000000000000004,-0.016000000000000004,-0.016000000000000004
20140226,0.0112,0.0112,0.011199999999999998
20140227,0.017599999999999998,0.017599999999999998,0.0208
20140228,0.017599999999999998,0.017599999999999998,0.027200000000000002
20140303,0.017599999999999998,0.017599999999999998,0.028800000000000003
20140304,0.019200000000000002,0.019200000000000002,0.027200000000000002
20140305,0.019200000000000002,0.019200000000000002,0.038400000000000004
20140306,0.017599999999999998,0.017599999999999998,0.032
20140307,0.016,0.016,0.0304
20140310,0.016,0.016,0.0128
20140311,0.014400000000000001,0.014400000000000001,0.009599999999999997
20140312,0.019200000000000002,0.019200000000000002,0.0208
20140313,0.020800000000000003,0.020800000000000003,0.0336
20140314,0.0112,0.0112,0.032
20140317,0.019200000000000002,0.019200000000000002,0.0336
20140318,0.020800000000000003,0.020800000000000003,0.0336
20140319,0.020800000000000003,0.020800000000000003,0.027200000000000002
20140320,0.017599999999999998,0.017599999999999998,0.0304
20140321,0.020800000000000003,0.020800000000000003,0.0416
20140324,0.019200000000000002,0.019200000000000002,0.0416
20140325,0.019200000000000002,0.019200000000000002,0.0416
20140326,0.0224,0.0224,0.0432
20140327,0.0208,0.0208,0.041600000000000005
20140328,0.0256,0.0256,0.046400000000000004
20140331,0.0208,0.0208,0.041600000000000005
20140401,0.024,0.024,0.0448
20140403,0.0256,0.0256,0.046400000000000004
20140404,0.027200000000000002,0.027200000000000002,0.048
20140409,0.038400000000000004,0.038400000000000004,0.059199999999999996
20140410,0.038400000000000004,0.038400000000000004,0.059199999999999996
20140411,0.0368,0.0368,0.057600000000000005
20140414,0.0368,0.0368,0.057600000000000005
20140415,0.032,0.032,0.0528
20140416,0.032,0.032,0.0528
20140417,0.0304,0.0304,0.0512
20140418,0.0416,0.0416,0.0624
20140421,0.03984,0.03984,0.060640000000000006
20140422,0.040639999999999996,0.040639999999999996,0.06144000000000001
20140423,0.0432,0.043199999999999995,0.06400000000000002
20140424,0.04512,0.04847999999999999,0.06928000000000001
20140425,0.04207999999999999,0.04575999999999999,0.06656000000000001
20140428,0.03328,0.03296,0.053760000000000016
